id|nct_id|outcome_id|result_group_id|ctgov_group_code|classification|category|title|description|units|param_type|param_value|param_value_num|dispersion_type|dispersion_value|dispersion_value_num|dispersion_lower_limit|dispersion_upper_limit|explanation_of_na|dispersion_upper_limit_raw|dispersion_lower_limit_raw
1927480603|NCT01115855|258432018|837835189|OG000|||Number of Participants With First Occurrence of All-cause Mortality or All-cause Hospitalization|All cause hospitalization included all hospitalizations as CV hospitalization, which was defined as any hospitalization due to CV events including HF, myocardial infarction, arrhythmia, angina pectoris and non-CV hospitalizations which was defined as any hospitalization due to non-CV events including renal dysfunction, hyperkalaemia, malignant tumor and pulmonary disease. All-cause mortality was defined as any CV mortality, Non-CV mortality, including malignant tumor, pulmonary disease and trauma.CV mortality was defined as death due to HF, myocardial infarction, cardiac arrhythmia, stroke or cerebral vascular accident, other CV cause (such as aneurysm or pulmonary embolism). Hazard ratio of Eplerenone versus placebo for first occurrence of the event was obtained from a Cox proportional hazards model.|participants|NUMBER|48|48.0||||||||
1927480604|NCT01115855|258432018|837835190|OG001|||Number of Participants With First Occurrence of All-cause Mortality or All-cause Hospitalization|All cause hospitalization included all hospitalizations as CV hospitalization, which was defined as any hospitalization due to CV events including HF, myocardial infarction, arrhythmia, angina pectoris and non-CV hospitalizations which was defined as any hospitalization due to non-CV events including renal dysfunction, hyperkalaemia, malignant tumor and pulmonary disease. All-cause mortality was defined as any CV mortality, Non-CV mortality, including malignant tumor, pulmonary disease and trauma.CV mortality was defined as death due to HF, myocardial infarction, cardiac arrhythmia, stroke or cerebral vascular accident, other CV cause (such as aneurysm or pulmonary embolism). Hazard ratio of Eplerenone versus placebo for first occurrence of the event was obtained from a Cox proportional hazards model.|participants|NUMBER|61|61.0||||||||
1927480605|NCT01115855|258432019|837835191|OG000|||Number of Participants With First Occurrence of Heart Failure (HF) Mortality or Heart Failure (HF) Hospitalization|HF mortality was defined as any death due to HF. Hospitalization due to HF was defined as an overnight stay, or longer, in a hospital environment (emergency room, observation unit or in-patient care, or similar facility including admission to a day care facility) due to HF. Hazard ratio of Eplerenone versus placebo for first occurrence of the event was obtained from a Cox proportional hazards model.|participants|NUMBER|29|29.0||||||||
1927480606|NCT01115855|258432019|837835192|OG001|||Number of Participants With First Occurrence of Heart Failure (HF) Mortality or Heart Failure (HF) Hospitalization|HF mortality was defined as any death due to HF. Hospitalization due to HF was defined as an overnight stay, or longer, in a hospital environment (emergency room, observation unit or in-patient care, or similar facility including admission to a day care facility) due to HF. Hazard ratio of Eplerenone versus placebo for first occurrence of the event was obtained from a Cox proportional hazards model.|participants|NUMBER|33|33.0||||||||
1927480607|NCT01115855|258432020|837835193|OG000|||Number of Participants With First Occurrence of Cardiovascular (CV) Hospitalization|CV hospitalization, which was defined as any hospitalization due to CV events including HF, myocardial infarction, arrhythmia, angina pectoris. Hazard ratio of Eplerenone versus placebo for first occurrence of the event was obtained from a Cox proportional hazards model.|participants|NUMBER|35|35.0||||||||
1927480608|NCT01115855|258432020|837835194|OG001|||Number of Participants With First Occurrence of Cardiovascular (CV) Hospitalization|CV hospitalization, which was defined as any hospitalization due to CV events including HF, myocardial infarction, arrhythmia, angina pectoris. Hazard ratio of Eplerenone versus placebo for first occurrence of the event was obtained from a Cox proportional hazards model.|participants|NUMBER|44|44.0||||||||
1927480609|NCT01115855|258432021|837835195|OG000|||Number of Participants With First Occurrence of Addition/Increase of Heart Failure (HF) Medication Due to Heart Failure (HF) Worsening|Addition/ increase of HF medications was defined as administration of new HF medication or increase of 50 percent or more in dose of HF medication for \>= 3 days. Hazard ratio of Eplerenone versus placebo for first occurrence of the event was obtained from a Cox proportional hazards model.|participants|NUMBER|38|38.0||||||||
1927480610|NCT01115855|258432021|837835196|OG001|||Number of Participants With First Occurrence of Addition/Increase of Heart Failure (HF) Medication Due to Heart Failure (HF) Worsening|Addition/ increase of HF medications was defined as administration of new HF medication or increase of 50 percent or more in dose of HF medication for \>= 3 days. Hazard ratio of Eplerenone versus placebo for first occurrence of the event was obtained from a Cox proportional hazards model.|participants|NUMBER|43|43.0||||||||
1927480612|NCT01115855|258432022|837835198|OG001|||Number of Participants With First Occurrence of Fatal/Non-Fatal Stroke|Hazard ratio of Eplerenone versus placebo for first occurrence of the event was obtained from a Cox proportional hazards model.|participants|NUMBER|4|4.0||||||||
1927480613|NCT01115855|258432023|837835199|OG000|||Number of Participants With First Occurrence of Fatal/Non-Fatal Myocardial Infarction (MI)|Hazard ratio of Eplerenone versus placebo for first occurrence of the event was obtained from a Cox proportional hazards model.|participants|NUMBER|1|1.0||||||||
1927480614|NCT01115855|258432023|837835200|OG001|||Number of Participants With First Occurrence of Fatal/Non-Fatal Myocardial Infarction (MI)|Hazard ratio of Eplerenone versus placebo for first occurrence of the event was obtained from a Cox proportional hazards model.|participants|NUMBER|1|1.0||||||||
1927480615|NCT01115855|258432024|837835201|OG000|||Number of Participants With First Occurrence of New Onset Atrial Fibrillation/Flutter|New onset of atrial fibrillation or flutter was defined as the diagnosis of atrial fibrillation or flutter in a participant after randomization. Hazard ratio of Eplerenone versus placebo for first occurrence of the event was obtained from a Cox proportional hazards model.|participants|NUMBER|4|4.0||||||||
1927480616|NCT01115855|258432024|837835202|OG001|||Number of Participants With First Occurrence of New Onset Atrial Fibrillation/Flutter|New onset of atrial fibrillation or flutter was defined as the diagnosis of atrial fibrillation or flutter in a participant after randomization. Hazard ratio of Eplerenone versus placebo for first occurrence of the event was obtained from a Cox proportional hazards model.|participants|NUMBER|2|2.0||||||||
1927480617|NCT01115855|258432025|837835203|OG000|||Number of Participants With First Occurrence of New Onset Diabetes Mellitus|New onset diabetes mellitus was defined as the diagnosis of diabetes mellitus in a participant after randomization. Hazard ratio of Eplerenone versus placebo for first occurrence of the event was obtained from a Cox proportional hazards model.|participants|NUMBER|1|1.0||||||||
1927480618|NCT01115855|258432025|837835204|OG001|||Number of Participants With First Occurrence of New Onset Diabetes Mellitus|New onset diabetes mellitus was defined as the diagnosis of diabetes mellitus in a participant after randomization. Hazard ratio of Eplerenone versus placebo for first occurrence of the event was obtained from a Cox proportional hazards model.|participants|NUMBER|2|2.0||||||||
1927480619|NCT01115855|258432026|837835205|OG000|||Number of Participants With First Occurrence of Hospitalisation Due to Worsening Renal Function|Hospitalization due to worsening renal function (as per physician's decision) was defined as an overnight stay, or longer, in a hospital environment (emergency room, observation unit or in-patient care, or similar facility including admission to a day care facility) due to worsening renal function as the primary reason for hospitalization. Hazard ratio of Eplerenone versus placebo for first occurrence of the event was obtained from a Cox proportional hazards model.|participants|NUMBER|2|2.0||||||||
1927480620|NCT01115855|258432026|837835206|OG001|||Number of Participants With First Occurrence of Hospitalisation Due to Worsening Renal Function|Hospitalization due to worsening renal function (as per physician's decision) was defined as an overnight stay, or longer, in a hospital environment (emergency room, observation unit or in-patient care, or similar facility including admission to a day care facility) due to worsening renal function as the primary reason for hospitalization. Hazard ratio of Eplerenone versus placebo for first occurrence of the event was obtained from a Cox proportional hazards model.|participants|NUMBER|2|2.0||||||||
1927480621|NCT01115855|258432027|837835207|OG000|||Number of Participants With First Occurrence of Hospitalization for Hyperkalemia|Hospitalization due to hyperkalemia (as per physician's decision) was defined as an overnight stay, or longer, in a hospital environment (emergency room, observation unit or in-patient care, or similar facility including admission to a day care facility) due to hyperkalemia as the primary reason for hospitalization. Hazard ratio of Eplerenone versus placebo for first occurrence of the event was obtained from a Cox proportional hazards model.|participants|NUMBER|0|0.0||||||||
1927480622|NCT01115855|258432027|837835208|OG001|||Number of Participants With First Occurrence of Hospitalization for Hyperkalemia|Hospitalization due to hyperkalemia (as per physician's decision) was defined as an overnight stay, or longer, in a hospital environment (emergency room, observation unit or in-patient care, or similar facility including admission to a day care facility) due to hyperkalemia as the primary reason for hospitalization. Hazard ratio of Eplerenone versus placebo for first occurrence of the event was obtained from a Cox proportional hazards model.|participants|NUMBER|0|0.0||||||||
1927480623|NCT01115855|258432028|837835209|OG000|Baseline (n=111,110)||Change From Baseline in Plasma Concentration of Brain Natriuretic Peptide at Months 5, 9, 13, 17, 21, 25, 29, 33, 37, 42, 48 and Final Visit||picogram/milliliter (pg/ml)|MEAN|469.29|469.29|Standard Deviation|375.43|375.43|||||
1927480624|NCT01115855|258432028|837835210|OG001|Baseline (n=111,110)||Change From Baseline in Plasma Concentration of Brain Natriuretic Peptide at Months 5, 9, 13, 17, 21, 25, 29, 33, 37, 42, 48 and Final Visit||picogram/milliliter (pg/ml)|MEAN|435.61|435.61|Standard Deviation|391.49|391.49|||||
1927480625|NCT01115855|258432028|837835209|OG000|Change at Month 5 (n=105,106)||Change From Baseline in Plasma Concentration of Brain Natriuretic Peptide at Months 5, 9, 13, 17, 21, 25, 29, 33, 37, 42, 48 and Final Visit||picogram/milliliter (pg/ml)|MEAN|-169.75|-169.75|Standard Deviation|424.40|424.4|||||
1927480626|NCT01115855|258432028|837835210|OG001|Change at Month 5 (n=105,106)||Change From Baseline in Plasma Concentration of Brain Natriuretic Peptide at Months 5, 9, 13, 17, 21, 25, 29, 33, 37, 42, 48 and Final Visit||picogram/milliliter (pg/ml)|MEAN|-36.36|-36.36|Standard Deviation|413.73|413.73|||||
1927480627|NCT01115855|258432028|837835209|OG000|Change at Month 9 (n=99,104)||Change From Baseline in Plasma Concentration of Brain Natriuretic Peptide at Months 5, 9, 13, 17, 21, 25, 29, 33, 37, 42, 48 and Final Visit||picogram/milliliter (pg/ml)|MEAN|-208.54|-208.54|Standard Deviation|405.74|405.74|||||
1927480628|NCT01115855|258432028|837835210|OG001|Change at Month 9 (n=99,104)||Change From Baseline in Plasma Concentration of Brain Natriuretic Peptide at Months 5, 9, 13, 17, 21, 25, 29, 33, 37, 42, 48 and Final Visit||picogram/milliliter (pg/ml)|MEAN|-76.23|-76.23|Standard Deviation|442.47|442.47|||||
1927480629|NCT01115855|258432028|837835209|OG000|Change at Month 13 (n=95,101)||Change From Baseline in Plasma Concentration of Brain Natriuretic Peptide at Months 5, 9, 13, 17, 21, 25, 29, 33, 37, 42, 48 and Final Visit||picogram/milliliter (pg/ml)|MEAN|-258.66|-258.66|Standard Deviation|395.05|395.05|||||
1927480630|NCT01115855|258432028|837835210|OG001|Change at Month 13 (n=95,101)||Change From Baseline in Plasma Concentration of Brain Natriuretic Peptide at Months 5, 9, 13, 17, 21, 25, 29, 33, 37, 42, 48 and Final Visit||picogram/milliliter (pg/ml)|MEAN|-93.99|-93.99|Standard Deviation|409.87|409.87|||||
1927480631|NCT01115855|258432028|837835209|OG000|Change at Month 17 (n=81,82)||Change From Baseline in Plasma Concentration of Brain Natriuretic Peptide at Months 5, 9, 13, 17, 21, 25, 29, 33, 37, 42, 48 and Final Visit||picogram/milliliter (pg/ml)|MEAN|-242.92|-242.92|Standard Deviation|431.59|431.59|||||
1927480632|NCT01115855|258432028|837835210|OG001|Change at Month 17 (n=81,82)||Change From Baseline in Plasma Concentration of Brain Natriuretic Peptide at Months 5, 9, 13, 17, 21, 25, 29, 33, 37, 42, 48 and Final Visit||picogram/milliliter (pg/ml)|MEAN|-69.74|-69.74|Standard Deviation|535.05|535.05|||||
1927480633|NCT01115855|258432028|837835209|OG000|Change at Month 21 (n=72,73)||Change From Baseline in Plasma Concentration of Brain Natriuretic Peptide at Months 5, 9, 13, 17, 21, 25, 29, 33, 37, 42, 48 and Final Visit||picogram/milliliter (pg/ml)|MEAN|-241.33|-241.33|Standard Deviation|429.24|429.24|||||
1927480634|NCT01115855|258432028|837835210|OG001|Change at Month 21 (n=72,73)||Change From Baseline in Plasma Concentration of Brain Natriuretic Peptide at Months 5, 9, 13, 17, 21, 25, 29, 33, 37, 42, 48 and Final Visit||picogram/milliliter (pg/ml)|MEAN|-57.31|-57.31|Standard Deviation|515.76|515.76|||||
1927480635|NCT01115855|258432028|837835209|OG000|Change at Month 25 (n=63,63)||Change From Baseline in Plasma Concentration of Brain Natriuretic Peptide at Months 5, 9, 13, 17, 21, 25, 29, 33, 37, 42, 48 and Final Visit||picogram/milliliter (pg/ml)|MEAN|-249.76|-249.76|Standard Deviation|473.68|473.68|||||
1927480636|NCT01115855|258432028|837835210|OG001|Change at Month 25 (n=63,63)||Change From Baseline in Plasma Concentration of Brain Natriuretic Peptide at Months 5, 9, 13, 17, 21, 25, 29, 33, 37, 42, 48 and Final Visit||picogram/milliliter (pg/ml)|MEAN|-83.99|-83.99|Standard Deviation|506.79|506.79|||||
1927480637|NCT01115855|258432028|837835209|OG000|Change at Month 29 (n=53,48)||Change From Baseline in Plasma Concentration of Brain Natriuretic Peptide at Months 5, 9, 13, 17, 21, 25, 29, 33, 37, 42, 48 and Final Visit||picogram/milliliter (pg/ml)|MEAN|-269.07|-269.07|Standard Deviation|502.78|502.78|||||
1927480638|NCT01115855|258432028|837835210|OG001|Change at Month 29 (n=53,48)||Change From Baseline in Plasma Concentration of Brain Natriuretic Peptide at Months 5, 9, 13, 17, 21, 25, 29, 33, 37, 42, 48 and Final Visit||picogram/milliliter (pg/ml)|MEAN|-95.33|-95.33|Standard Deviation|350.51|350.51|||||
1927480639|NCT01115855|258432028|837835209|OG000|Change at Month 33 (n=45,40)||Change From Baseline in Plasma Concentration of Brain Natriuretic Peptide at Months 5, 9, 13, 17, 21, 25, 29, 33, 37, 42, 48 and Final Visit||picogram/milliliter (pg/ml)|MEAN|-228.84|-228.84|Standard Deviation|575.05|575.05|||||
1927480640|NCT01115855|258432028|837835210|OG001|Change at Month 33 (n=45,40)||Change From Baseline in Plasma Concentration of Brain Natriuretic Peptide at Months 5, 9, 13, 17, 21, 25, 29, 33, 37, 42, 48 and Final Visit||picogram/milliliter (pg/ml)|MEAN|-43.98|-43.98|Standard Deviation|500.78|500.78|||||
1927480641|NCT01115855|258432028|837835209|OG000|Change at Month 37 (n=40,33)||Change From Baseline in Plasma Concentration of Brain Natriuretic Peptide at Months 5, 9, 13, 17, 21, 25, 29, 33, 37, 42, 48 and Final Visit||picogram/milliliter (pg/ml)|MEAN|-211.86|-211.86|Standard Deviation|597.30|597.3|||||
1927480642|NCT01115855|258432028|837835210|OG001|Change at Month 37 (n=40,33)||Change From Baseline in Plasma Concentration of Brain Natriuretic Peptide at Months 5, 9, 13, 17, 21, 25, 29, 33, 37, 42, 48 and Final Visit||picogram/milliliter (pg/ml)|MEAN|-73.73|-73.73|Standard Deviation|626.13|626.13|||||
1927480643|NCT01115855|258432028|837835209|OG000|Change at Month 42 (n=30,26)||Change From Baseline in Plasma Concentration of Brain Natriuretic Peptide at Months 5, 9, 13, 17, 21, 25, 29, 33, 37, 42, 48 and Final Visit||picogram/milliliter (pg/ml)|MEAN|-155.65|-155.65|Standard Deviation|320.44|320.44|||||
1927480644|NCT01115855|258432028|837835210|OG001|Change at Month 42 (n=30,26)||Change From Baseline in Plasma Concentration of Brain Natriuretic Peptide at Months 5, 9, 13, 17, 21, 25, 29, 33, 37, 42, 48 and Final Visit||picogram/milliliter (pg/ml)|MEAN|-22.31|-22.31|Standard Deviation|689.26|689.26|||||
1927480645|NCT01115855|258432028|837835209|OG000|Change at Month 48 (n=16,16)||Change From Baseline in Plasma Concentration of Brain Natriuretic Peptide at Months 5, 9, 13, 17, 21, 25, 29, 33, 37, 42, 48 and Final Visit||picogram/milliliter (pg/ml)|MEAN|-200.85|-200.85|Standard Deviation|357.51|357.51|||||
1927480646|NCT01115855|258432028|837835210|OG001|Change at Month 48 (n=16,16)||Change From Baseline in Plasma Concentration of Brain Natriuretic Peptide at Months 5, 9, 13, 17, 21, 25, 29, 33, 37, 42, 48 and Final Visit||picogram/milliliter (pg/ml)|MEAN|-122.33|-122.33|Standard Deviation|450.87|450.87|||||
1927480647|NCT01115855|258432028|837835209|OG000|Change at Final Visit (n=109,110)||Change From Baseline in Plasma Concentration of Brain Natriuretic Peptide at Months 5, 9, 13, 17, 21, 25, 29, 33, 37, 42, 48 and Final Visit||picogram/milliliter (pg/ml)|MEAN|-149.75|-149.75|Standard Deviation|473.95|473.95|||||
1927480648|NCT01115855|258432028|837835210|OG001|Change at Final Visit (n=109,110)||Change From Baseline in Plasma Concentration of Brain Natriuretic Peptide at Months 5, 9, 13, 17, 21, 25, 29, 33, 37, 42, 48 and Final Visit||picogram/milliliter (pg/ml)|MEAN|-57.45|-57.45|Standard Deviation|509.85|509.85|||||
1927480649|NCT01115855|258432029|837835211|OG000|Baseline (n=111,110)||Change From Baseline in Plasma Concentration of Serum N-terminal Pro-Brain Natriuretic Peptide (NT-proBNP) at Months 5, 9, 13, 17, 21, 25, 29, 33, 37, 42, 48 and Final Visit||pg/mL|MEAN|2635.78|2635.78|Standard Deviation|2143.64|2143.64|||||
1927480650|NCT01115855|258432029|837835212|OG001|Baseline (n=111,110)||Change From Baseline in Plasma Concentration of Serum N-terminal Pro-Brain Natriuretic Peptide (NT-proBNP) at Months 5, 9, 13, 17, 21, 25, 29, 33, 37, 42, 48 and Final Visit||pg/mL|MEAN|2354.31|2354.31|Standard Deviation|1874.30|1874.3|||||
1927480651|NCT01115855|258432029|837835211|OG000|Change at Month 5 (n=105,106)||Change From Baseline in Plasma Concentration of Serum N-terminal Pro-Brain Natriuretic Peptide (NT-proBNP) at Months 5, 9, 13, 17, 21, 25, 29, 33, 37, 42, 48 and Final Visit||pg/mL|MEAN|-770.51|-770.51|Standard Deviation|2172.88|2172.88|||||
1927480652|NCT01115855|258432029|837835212|OG001|Change at Month 5 (n=105,106)||Change From Baseline in Plasma Concentration of Serum N-terminal Pro-Brain Natriuretic Peptide (NT-proBNP) at Months 5, 9, 13, 17, 21, 25, 29, 33, 37, 42, 48 and Final Visit||pg/mL|MEAN|-205.18|-205.18|Standard Deviation|1801.42|1801.42|||||
1927480653|NCT01115855|258432029|837835211|OG000|Change at Month 9 (n=99,104)||Change From Baseline in Plasma Concentration of Serum N-terminal Pro-Brain Natriuretic Peptide (NT-proBNP) at Months 5, 9, 13, 17, 21, 25, 29, 33, 37, 42, 48 and Final Visit||pg/mL|MEAN|-884.76|-884.76|Standard Deviation|2265.57|2265.57|||||
1927480654|NCT01115855|258432029|837835212|OG001|Change at Month 9 (n=99,104)||Change From Baseline in Plasma Concentration of Serum N-terminal Pro-Brain Natriuretic Peptide (NT-proBNP) at Months 5, 9, 13, 17, 21, 25, 29, 33, 37, 42, 48 and Final Visit||pg/mL|MEAN|-425.47|-425.47|Standard Deviation|1883.54|1883.54|||||
