id|nct_id|ctgov_group_code|event_type|classification|subjects_affected|subjects_at_risk|created_at|updated_at
227283451|NCT00135226|EG000|deaths|Total, all-cause mortality|748|7740|2026-08-29 12:06:07.68444|2026-08-29 12:06:07.68444
227283452|NCT00135226|EG001|deaths|Total, all-cause mortality|792|7740|2026-08-29 12:06:07.68444|2026-08-29 12:06:07.68444
227283453|NCT00135226|EG002|deaths|Total, all-cause mortality|752|7740|2026-08-29 12:06:07.68444|2026-08-29 12:06:07.68444
227283454|NCT00135226|EG003|deaths|Total, all-cause mortality|788|7740|2026-08-29 12:06:07.68444|2026-08-29 12:06:07.68444
227283594|NCT00135226|EG000|other|Total, other adverse events|0|0|2026-08-29 12:06:07.740715|2026-08-29 12:06:07.740715
227283595|NCT00135226|EG001|other|Total, other adverse events|0|0|2026-08-29 12:06:07.740715|2026-08-29 12:06:07.740715
227283596|NCT00135226|EG002|other|Total, other adverse events|0|0|2026-08-29 12:06:07.740715|2026-08-29 12:06:07.740715
227283597|NCT00135226|EG003|other|Total, other adverse events|0|0|2026-08-29 12:06:07.740715|2026-08-29 12:06:07.740715
227283737|NCT00135226|EG000|serious|Total, serious adverse events|5264|7740|2026-08-29 12:06:07.786833|2026-08-29 12:06:07.786833
227283738|NCT00135226|EG001|serious|Total, serious adverse events|5321|7740|2026-08-29 12:06:07.786833|2026-08-29 12:06:07.786833
227283739|NCT00135226|EG002|serious|Total, serious adverse events|5344|7740|2026-08-29 12:06:07.786833|2026-08-29 12:06:07.786833
227283740|NCT00135226|EG003|serious|Total, serious adverse events|5241|7740|2026-08-29 12:06:07.786833|2026-08-29 12:06:07.786833
227180417|NCT04356937|EG000|deaths|Total, all-cause mortality|9|161|2026-08-29 05:28:28.413685|2026-08-29 05:28:28.413685
227180418|NCT04356937|EG001|deaths|Total, all-cause mortality|4|82|2026-08-29 05:28:28.413685|2026-08-29 05:28:28.413685
227180564|NCT04356937|EG000|other|Total, other adverse events|20|161|2026-08-29 05:28:28.479411|2026-08-29 05:28:28.479411
227180565|NCT04356937|EG001|other|Total, other adverse events|26|81|2026-08-29 05:28:28.479411|2026-08-29 05:28:28.479411
227180711|NCT04356937|EG000|serious|Total, serious adverse events|19|161|2026-08-29 05:28:28.525293|2026-08-29 05:28:28.525293
227180712|NCT04356937|EG001|serious|Total, serious adverse events|8|82|2026-08-29 05:28:28.525293|2026-08-29 05:28:28.525293
227090573|NCT01115855|EG000|deaths|Total, all-cause mortality|||2026-08-28 23:11:59.188905|2026-08-28 23:11:59.188905
227090574|NCT01115855|EG001|deaths|Total, all-cause mortality|||2026-08-28 23:11:59.188905|2026-08-28 23:11:59.188905
227090707|NCT01115855|EG000|other|Total, other adverse events|89|111|2026-08-28 23:11:59.238442|2026-08-28 23:11:59.238442
227090708|NCT01115855|EG001|other|Total, other adverse events|87|110|2026-08-28 23:11:59.238442|2026-08-28 23:11:59.238442
