id|nct_id|outcome_type|title|description|time_frame|population|anticipated_posting_date|anticipated_posting_month_year|units|units_analyzed|dispersion_type|param_type
258813614|NCT00232180|SECONDARY|Number of Participants With First Occurrence of Hospitalization Due to Hyperkalemia (Adjudicated)|First occurrence of hospitalization due to hyperkalemia. Hospitalization due to hyperkalemia is defined as an overnight stay, or longer, in a hospital environment (emergency room, observation unit or in-patient care, or similar facility including admission to a day care facility) due to hyperkalemia as the primary reason for hospitalization as determined by endpoint committee adjudicator. Hyperkalemia is defined as serum potassium level greater than (\>) 5.5 milliequivalents per liter (mEq/L).|Baseline (30 March 2006) up to 50 months (cut-off date: 25 May 2010), 59.5 months (complete DB phase: 18 March 2011)|"FAS using ITT principle: All randomized participants, followed for mortality and other major endpoints for the duration of the double blind treatment period, regardless of compliance with the study drug and the protocol. Here n signifies participants evaluated at that time point."|||participants|||NUMBER
258813615|NCT00232180|SECONDARY|Number of Participants With New Onset Atrial Fibrillation or Flutter|New onset of atrial fibrillation or flutter is defined as the diagnosis of atrial fibrillation or flutter in a participant after randomization, where atrial fibrillation was not present before randomization.|Baseline (30 March 2006) up to 50 months (cut-off date: 25 May 2010), 59.5 months (complete DB phase: 18 March 2011)|"FAS using ITT principle: Here 'N' (Number of Participants Analyzed) signifies those who did not report a history of atrial fibrillation at baseline and n signifies participants evaluated at that time point."|||participants|||NUMBER
258813616|NCT00232180|SECONDARY|Number of Participants With New Onset Diabetes Mellitus (DM)|The definition of new onset diabetes mellitus is the diagnosis of diabetes mellitus in a participant after randomization, when DM was not present before randomization.|Baseline (30 March 2006) up to 50 months (cut-off date: 25 May 2010), 59.5 months (complete DB phase: 18 March 2011)|"FAS using ITT principle: Here 'N' (Number of Participants Analyzed) signifies those who did not report a history of diabetes mellitus at baseline and n signifies participants evaluated at that time point."|||participants|||NUMBER
258272771|NCT03548935|PRIMARY|Change in Body Weight (%)|Change in body weight from baseline (week 0) to week 68 is presented. The endpoint was evaluated based on the data from both in-trial and on-treatment observation periods. In-trial observation period: the uninterrupted time interval from date of randomization (week 0) to date of last contact with trial site (week 75). On-treatment observation period: includes all time intervals in which participants are considered to be on treatment from the first (week 0) to last trial product administration (week 68), including 2 weeks of follow-up. It excludes any period of temporary treatment interruption. Temporary treatment interruption is defined as more than 2 consecutive missed doses (off-treatment period).|Baseline (week 0) to week 68|Overall number of participants analyzed = full analysis set (FAS) which comprised all randomized participants. Number Analyzed = number of participants with available data.|||Percentage point||Standard Deviation|MEAN
258272772|NCT03548935|PRIMARY|Participants Who Achieve 5 or More Percent Body Weight Reduction (Yes/no)|Number of participants who achieved weight loss more than or equal to 5% (yes/no) at week 68 are presented. The endpoint was evaluated based on the data from both in-trial and on-treatment observation periods. In-trial observation period: the uninterrupted time interval from start of randomization (week 0) to last trial-related subject-site contact (week 75). On-treatment observation period: includes all time intervals in which participants are considered to be on treatment from the first (week 0) to last trial product administration (week 68), including 2 weeks of follow-up. It excludes any period of temporary treatment interruption.|After week 68|Overall number of participants analyzed = full analysis set (FAS) which comprised all randomized participants. Number Analyzed = number of participants with available data.|||Participants|||COUNT_OF_PARTICIPANTS
258272773|NCT03548935|SECONDARY|Subjects Who Achieve 10 or More Percent Body Weight Reduction (Yes/no)|Number of participants who achieved weight loss more than or equal to (≥) 10% at week 68 is presented. The endpoint was evaluated based on the data from in-trial observation period. In-trial observation period: the uninterrupted time interval from date of randomization (week 0) to date of last contact with trial site (week 75).|Week 68|FAS included all randomized participants. 'Overall Number of Participants Analyzed' = participants with available data.|||Participants|||COUNT_OF_PARTICIPANTS
258272774|NCT03548935|SECONDARY|Participants Who Achieve 15 or More Percent Body Weight Reduction (Yes/no)|Number of participants who achieved more than or equal to (≥) 15% weight loss at week 68 is presented. The endpoint was evaluated based on the data from in-trial observation period. In-trial observation period: the uninterrupted time interval from start of randomization (week 0) to last trial-related subject-site contact (week 75).|Week 68|FAS included all randomised participants. 'Overall Number of Participants Analyzed' = participants with available data.|||Participants|||COUNT_OF_PARTICIPANTS
258272775|NCT03548935|SECONDARY|Participants Who Achieve 20 or More Percent Body Weight Reduction (Yes/no)|Number of participants who achieved more than or equal to (≥) 20% weight loss at week 68 is presented. The endpoint was evaluated based on the data from in-trial observation period. In-trial observation period: the uninterrupted time interval from start of randomization (week 0) to last trial-related subject-site contact (week 75).|Week 68|FAS included all randomised participants. 'Overall Number of Participants Analyzed' = participants with available data.|||Participants|||COUNT_OF_PARTICIPANTS
258272776|NCT03548935|SECONDARY|Change in Waist Circumference (cm)|Change in waist circumference from baseline (week 0) to week 68 is presented. The endpoint was evaluated based on the data from in-trial observation period. In-trial observation period: the uninterrupted time interval from start of randomization (week 0) to date of last contact with trial site (week 75).|Baseline (week 0) to week 68|FAS included all randomised participants. 'Overall Number of Participants Analyzed' = participants with available data.|||Centimeter (cm)||Standard Deviation|MEAN
258272777|NCT03548935|SECONDARY|Change in Systolic Blood Pressure (mmHg)|Change in systolic blood pressure from baseline (week 0) to week 68 is presented. The endpoint was evaluated based on the data from in-trial observation period. In-trial observation period: the uninterrupted time interval from start of randomization (week 0) to date of last contact with trial site (week 75).|Baseline (week 0) to week 68|FAS included all randomised participants. 'Overall Number of Participants Analyzed' = participants with available data.|||Millimeters of mercury (mmHg)||Standard Deviation|MEAN
258272778|NCT03548935|SECONDARY|Change in Short Form 36 (SF-36)|SF-36 is a 36-item patient-reported survey of patient health that measures the participant's overall health-related quality of life (HRQoL). SF-36v2™ questionnaire measured eight domains of functional health and well-being as well as two component summary scores (physical component summary and mental component summary). In the metric of norm-based scores, 50 and 10 corresponds to the mean and standard deviation, respectively, for the 2009 US general population. Change from week 0 in the domain scores and component summary scores were evaluated at week 68. A positive change score indicates an improvement since baseline. These endpoints were evaluated based on the data from in-trial observation period which is the uninterrupted time interval from start of randomization (week 0) to last trial-related subject-site contact (week 75).|Baseline (week 0) to week 68|FAS included all randomised participants. 'Overall Number of Participants Analyzed' = participants with available data.|||Score on a scale||Standard Deviation|MEAN
258272779|NCT03548935|SECONDARY|Change in Impact of Weight on Quality of Life-Lite for Clinical Trial (IWQoL-Lite for CT) Score|IWQoL-Lite for CT is a modified version of an instrument designed to assess weight-related quality of life. It is used to assess the impact of body weight changes on patients' physical and psychosocial functioning in three composite scores (physical function, physical and psychosocial) and a total score. The scores range between 0-100 where higher scores indicate a better quality of life. A positive change score indicates an improvement since baseline. These endpoints were evaluated based on the data from in-trial observation period which is the uninterrupted time interval from start of randomization (week 0) to last trial-related subject-site contact (week 75).|Baseline (week 0) to week 68|FAS included all randomized participants. 'Overall Number of Participants Analyzed' = participants with available data.|||Score on a scale||Standard Deviation|MEAN
258272780|NCT03548935|SECONDARY|Change in Body Weight (kg)|Change in body weight from baseline (week 0) to week 68 is presented. The endpoint was evaluated based on the data from in-trial observation period. In-trial observation period: the uninterrupted time interval from start of randomization (week 0) to last trial-related subject-site contact (week 75).|Baseline (week 0) to week 68|FAS included all randomized participants. 'Overall Number of Participants Analyzed' = participants with available data.|||Kilogram (kg)||Standard Deviation|MEAN
258272781|NCT03548935|SECONDARY|Change in Body Mass Index (BMI) (kg/m2)|Change in body mass index from baseline (week 0) to week 68 is presented. The endpoint was evaluated based on the data from in-trial observation period. In-trial observation period: the uninterrupted time interval from start of randomization (week 0) to last trial-related subject-site contact (week 75).|Baseline (week 0) to week 68|Overall number of participants analyzed = full analysis set (FAS) which comprised all randomized participants. Number Analyzed = number of participants with available data.|||Kilogram per square meter (kg/sqm)||Standard Deviation|MEAN
258272782|NCT03548935|SECONDARY|Change in HbA1C (%)|Change in glycosylated haemoglobin (HbA1c) from baseline (week 0) to week 68 is presented. The endpoint was evaluated based on the data from in-trial observation period. In-trial observation period: the uninterrupted time interval from start of randomization (week 0) to last trial-related subject-site contact (week 75).|Baseline (week 0) to week 68|FAS included all randomized participants. 'Overall Number of Participants Analyzed' = participants with available data.|||Percentage point of HbA1c||Standard Deviation|MEAN
258272783|NCT03548935|SECONDARY|Change in HbA1C (mmol/Mol)|Change in HbA1c from baseline (week 0) to week 68 is presented. The endpoint was evaluated based on the data from in-trial observation period. In-trial observation period: the uninterrupted time interval from start of randomization (week 0) to last trial-related subject-site contact (week 75).|Baseline (week 0) to week 68|FAS included all randomized participants. 'Overall Number of Participants Analyzed' = participants with available data.|||millimoles per mole (mmol/mol)||Standard Deviation|MEAN
258272784|NCT03548935|SECONDARY|Change in Fasting Plasma Glucose (FPG) (mg/dL)|Change in fasting plasma glucose from baseline (week 0) to week 68 is presented. The endpoint was evaluated based on the data from in-trial observation period. In-trial observation period: the uninterrupted time interval from start of randomization (week 0) to last trial-related subject-site contact (week 75).|Baseline (week 0) to week 68|FAS included all randomized participants. 'Overall Number of Participants Analyzed' = participants with available data.|||milligrams per deciliter (mg/dL)||Standard Deviation|MEAN
258272785|NCT03548935|SECONDARY|Change in Fasting Serum Insulin (mIU/L) - Ratio to Baseline|Change in fasting serum insulin from week 0 to week 68 is presented as ratio to baseline. Fasting serum insulin was measured in milli-international units per milliliter (mIU/mL). The endpoint was evaluated based on the data from in-trial observation period. In-trial observation period: the uninterrupted time interval from start of randomization (week 0) to last trial-related subject-site contact (week 75).|Baseline (week 0) to week 68|FAS included all randomised participants. 'Overall Number of Participants Analyzed' = participants with available data.|||Ratio of fasting serum insulin||Geometric Coefficient of Variation|GEOMETRIC_MEAN
258272786|NCT03548935|SECONDARY|Change in Diastolic Blood Pressure (mmHg)|Change in diastolic blood pressure from baseline (week 0) to week 68 is presented. The endpoint was evaluated based on the data from in-trial observation period. In-trial observation period: the uninterrupted time interval from start of randomization (week 0) to last trial-related subject-site contact (week 75).|Baseline (week 0) to week 68|FAS included all randomized participants. 'Overall Number of Participants Analyzed' = participants with available data.|||Millimeters of mercury (mmHg)||Standard Deviation|MEAN
258272787|NCT03548935|SECONDARY|Change in Total Cholesterol (mg/dL) - Ratio to Baseline|Change in fasting total cholesterol from baseline (week 0) to week 68 is presented as ratio to baseline. The endpoint was evaluated based on the data from in-trial observation period. In-trial observation period: the uninterrupted time interval from start of randomization (week 0) to last trial-related subject-site contact (week 75).|Baseline (week 0) to week 68|FAS included all randomised participants. 'Overall Number of Participants Analyzed' = participants with available data.|||Ratio of total cholesterol||Geometric Coefficient of Variation|GEOMETRIC_MEAN
258272788|NCT03548935|SECONDARY|Change in High-density Lipoproteins (HDL) (mg/dL) - Ratio to Baseline|Change in fasting HDL from baseline (week 0) to week 68 is presented as ratio to baseline. The endpoint was evaluated based on the data from in-trial observation period. In-trial observation period: the uninterrupted time interval from start of randomization (week 0) to last trial-related subject-site contact (week 75).|Baseline (week 0) to week 68|FAS included all randomised participants. 'Overall Number of Participants Analyzed' = participants with available data.|||Ratio of HDL cholesterol||Geometric Coefficient of Variation|GEOMETRIC_MEAN
258272789|NCT03548935|SECONDARY|Change in Low-density Lipoproteins (LDL) (mg/dL) - Ratio to Baseline|Change in fasting LDL from baseline (week 0) to week 68 is presented as ratio to baseline. The endpoint was evaluated based on the data from in-trial observation period. In-trial observation period: the uninterrupted time interval from start of randomization (week 0) to last trial-related subject-site contact (week 75).|Baseline (week 0) to week 68|FAS included all randomised participants. 'Overall Number of Participants Analyzed' = participants with available data.|||Ratio of LDL cholesterol||Geometric Coefficient of Variation|GEOMETRIC_MEAN
258272790|NCT03548935|SECONDARY|Change in Very Low-density Lipoproteins (VLDL) (mg/dL) - Ratio to Baseline|Change in fasting VLDL from baseline (week 0) to week 68 is presented as ratio to baseline. The endpoint was evaluated based on the data from in-trial observation period. In-trial observation period: the uninterrupted time interval from start of randomization (week 0) to last trial-related subject-site contact (week 75).|Baseline (week 0) to week 68|FAS included all randomised participants. 'Overall Number of Participants Analyzed' = participants with available data.|||Ratio of VLDL cholesterol||Geometric Coefficient of Variation|GEOMETRIC_MEAN
258272791|NCT03548935|SECONDARY|Change in Free Fatty Acids (mg/dL) - Ratio to Baseline|Change in fasting free fatty acids from baseline (week 0) to week 68 is presented as ratio to baseline. The endpoint was evaluated based on the data from in-trial observation period. In-trial observation period: the uninterrupted time interval from start of randomization (week 0) to last trial-related subject-site contact (week 75).|Baseline (week 0) to week 68|FAS included all randomised participants. 'Overall Number of Participants Analyzed' = participants with available data.|||Ratio of free fatty acids||Geometric Coefficient of Variation|GEOMETRIC_MEAN
258272792|NCT03548935|SECONDARY|Change in Triglycerides (mg/dL) - Ratio to Baseline|Change in fasting triglycerides from baseline (week 0) to week 68 is presented as ratio to baseline. The endpoint was evaluated based on the data from in-trial observation period. In-trial observation period: the uninterrupted time interval from start of randomization (week 0) to last trial-related subject-site contact (week 75).|Baseline (week 0) to week 68|FAS included all randomised participants. 'Overall Number of Participants Analyzed' = participants with available data.|||Ratio of triglycerides||Geometric Coefficient of Variation|GEOMETRIC_MEAN
258272793|NCT03548935|SECONDARY|Change in High Sensitivity C-Reactive Protein (hsCRP) - (mg/L) - Ratio to Baseline|Change in high sensitivity C-reactive protein from baseline (week 0) to week 68 is presented as ratio to baseline. The endpoint was evaluated based on the data from in-trial observation period. In-trial observation period: the uninterrupted time interval from start of randomization (week 0) to last trial-related subject-site contact (week 75).|Baseline (week 0) to week 68|FAS included all randomised participants. 'Overall Number of Participants Analyzed' = participants with available data.|||Ratio of hsCRP||Geometric Coefficient of Variation|GEOMETRIC_MEAN
258272794|NCT03548935|SECONDARY|Change in Plasminogen Activator Inhibitor-1 (PAI-1) Activity (AU/ml) - Ratio to Baseline|Change in plasminogen activator inhibitor-1 activity from baseline (week 0) to week 68 is presented as ratio to baseline. The endpoint was evaluated based on the data from in-trial observation period. In-trial observation period: the uninterrupted time interval from start of randomization (week 0) to last trial-related subject-site contact (week 75).|Baseline (week 0) to week 68|FAS included all randomised participants. 'Overall Number of Participants Analyzed' = participants with available data.|||Ratio of PAI-1||Geometric Coefficient of Variation|GEOMETRIC_MEAN
258272795|NCT03548935|SECONDARY|Change in Soluble Leptin Receptor (ng/mL) - Ratio to Baseline|Change in soluble leptin receptor from baseline (week 0) to week 68 is presented as ratio to baseline. The endpoint was evaluated based on the data from in-trial observation period. In-trial observation period: the uninterrupted time interval from start of randomization (week 0) to last trial-related subject-site contact (week 75).|Baseline (week 0) to week 68|FAS included all randomised participants. 'Overall Number of Participants Analyzed' = participants with available data.|||Ratio of soluble leptin receptor||Geometric Coefficient of Variation|GEOMETRIC_MEAN
258272796|NCT03548935|SECONDARY|Change in Leptin (ng/mL) - Ratio to Baseline|Change in leptin from baseline (week 0) to week 68 is presented as ratio to baseline. The endpoint was evaluated based on the data from in-trial observation period. In-trial observation period: the uninterrupted time interval from start of randomization (week 0) to last trial-related subject-site contact (week 75).|Baseline (week 0) to week 68|FAS included all randomised participants. 'Overall Number of Participants Analyzed' = participants with available data.|||Ratio of leptin||Geometric Coefficient of Variation|GEOMETRIC_MEAN
258272797|NCT03548935|SECONDARY|Change in Body Composition (Total Fat Mass) (%)|Change in body composition (total fat mass) from baseline (week 0) to week 68 is presented. Body composition was assessed using Dual Energy X-ray Absorpmetry (DEXA). The endpoint was evaluated based on the data from in-trial observation period. In-trial observation period: the uninterrupted time interval from start of randomization (week 0) to last trial-related subject-site contact (week 75).|Baseline (week 0) to week 68|DEXA analysis set (DXA) includes participants in the sub-population of FAS that have had a DEXA scan performed at baseline. 'Overall Number of Participants Analyzed' = participants with available data.|||Percentage point||Standard Deviation|MEAN
258272798|NCT03548935|SECONDARY|Change in Body Composition (Total Fat Mass) (kg)|Change in body composition (total fat mass) from baseline (week 0) to week 68 is presented. Body composition was assessed using Dual Energy X-ray Absorpmetry (DEXA). The endpoint was evaluated based on the data from in-trial observation period. In-trial observation period: the uninterrupted time interval from start of randomization (week 0) to last trial-related subject-site contact (week 75).|Baseline (week 0) to week 68|DEXA analysis set (DXA) includes participants in the sub-population of FAS that have had a DEXA scan performed at baseline. 'Overall Number of Participants Analyzed' = participants with available data.|||Kilograms||Standard Deviation|MEAN
258272799|NCT03548935|SECONDARY|Change in Body Composition (Lean Body Mass) (%)|Change in body composition (lean body mass) from baseline (week 0) to week 68 is presented. Body composition was assessed using DEXA. The endpoint was evaluated based on the data from in-trial observation period. In-trial observation period: the uninterrupted time interval from start of randomization (week 0) to last trial-related subject-site contact (week 75).|Baseline (week 0) to week 68|DEXA analysis set (DXA) includes participants in the sub-population of FAS that have had a DEXA scan performed at baseline. 'Overall Number of Participants Analyzed' = participants with available data.|||Percentage point||Standard Deviation|MEAN
258272800|NCT03548935|SECONDARY|Change in Body Composition (Lean Body Mass) (kg)|Change in body composition (lean body mass) from baseline (week 0) to week 68 is presented. Body composition was assessed using DEXA. The endpoint was evaluated based on the data from in-trial observation period. In-trial observation period: the uninterrupted time interval from start of randomization (week 0) to last trial-related subject-site contact (week 75).|Baseline (week 0) to week 68|DEXA analysis set (DXA) includes participants in the sub-population of FAS that have had a DEXA scan performed at baseline. 'Overall Number of Participants Analyzed' = participants with available data.|||Kilograms||Standard Deviation|MEAN
258272801|NCT03548935|SECONDARY|Change in Body Composition (Visceral Fat Mass) (%)|Change in body composition (visceral fat mass) from baseline (week 0) to week 68 is presented. Body composition was assessed using DEXA. The endpoint was evaluated based on the data from in-trial observation period. In-trial observation period: the uninterrupted time interval from start of randomization (week 0) to last trial-related subject-site contact (week 75).|Baseline (week 0) to week 68|DEXA analysis set (DXA) includes participants in the sub-population of FAS that have had a DEXA scan performed at baseline. 'Overall Number of Participants Analyzed' = participants with available data.|||Percentage point||Standard Deviation|MEAN
258272802|NCT03548935|SECONDARY|Change in Body Composition (Visceral Fat Mass) (kg)|Change in body composition (visceral fat mass) from baseline (week 0) to week 68 is presented. Body composition was assessed using DEXA. The endpoint was evaluated based on the data from in-trial observation period. In-trial observation period: the uninterrupted time interval from start of randomization (week 0) to last trial-related subject-site contact (week 75).|Baseline (week 0) to week 68|DEXA analysis set (DXA) includes participants in the sub-population of FAS that have had a DEXA scan performed at baseline. 'Overall Number of Participants Analyzed' = participants with available data.|||Kilograms||Standard Deviation|MEAN
258272803|NCT03548935|SECONDARY|Change in Body Weight (%) - DEXA Subpopulation|Change in body weight from baseline (week 0) to week 68 is presented in DEXA subpopulation. The endpoint was evaluated based on the data from in-trial observation period. In-trial observation period: the uninterrupted time interval from start of randomization (week 0) to last trial-related subject-site contact (week 75).|Baseline (week 0) to week 68|DEXA analysis set (DXA) includes participants in the sub-population of FAS that have had a DEXA scan performed at baseline. 'Overall Number of Participants Analyzed' = participants with available data.|||Percentage point||Standard Deviation|MEAN
258272804|NCT03548935|SECONDARY|Change in Body Weight (kg) - DEXA Subpopulation|Change in body weight from baseline (week 0) to week 68 is presented in DEXA subpopulation. The endpoint was evaluated based on the data from in-trial observation period. In-trial observation period: the uninterrupted time interval from start of randomization (week 0) to last trial-related subject-site contact (week 75).|Baseline (week 0) to week 68|DEXA analysis set (DXA) includes participants in the sub-population of FAS that have had a DEXA scan performed at baseline. 'Overall Number of Participants Analyzed' = participants with available data.|||Kilograms||Standard Deviation|MEAN
258272805|NCT03548935|SECONDARY|"Participants Who Achieve Responder Definition Value (Yes/no) for SF-36 Physical Functioning Score"|"The observed number of participants experiencing a meaningful within participant improvement in SF-36 Physical function after 68 weeks was determined based on two different thresholds. The threshold of 4.3 is the default generic responder threshold defined in SF-36 manual for a general population. The threshold of 3.7 is specific for the population with overweight or obesity included in the study and calculated using patient global rating anchor questionnaires to reflect participants' own perspective based on FDA recommendations. In the reported data, Yes infers the number of participants who have achieved an improvement in score greater than or equal to the threshold and No infers number of participants who have not achieved an improvement in score greater than or equal to the threshold. The endpoint was evaluated based on the in-trial observation period which is the uninterrupted time interval from randomization (week 0) to last trial related subject-site contact (week 75)."|After week 68|FAS included all randomized participants. 'Overall Number of Participants Analyzed' = participants with available data.|||Participants|||COUNT_OF_PARTICIPANTS
258272806|NCT03548935|SECONDARY|"Participants Who Achieve Responder Definition Value (Yes/no) for IWQoL-Lite for CT Physical Function Domain (5-items) Score"|"The observed number of participants experiencing a meaningful within participant improvement in IWQOL-Lite-CT physical function after 68 weeks was determined based on two different thresholds. The threshold of 20 was a preliminary responder threshold based on earlier studies. The threshold of 14.6 is specific for the population with overweight or obesity included in the study and calculated using patient global rating anchor questionnaires to reflect participants' own perspective based on FDA recommendations. In the reported data, Yes infers the number of participants who have achieved an improvement in score greater than or equal to the threshold and No infers the number of participants who have not achieved an improvement in score greater than or equal to the threshold. The endpoint was evaluated based on the in-trial observation period. In trial observation period: the uninterrupted time interval from randomization (week 0) to last trial related subject-site contact (week 75)."|After week 68|FAS included all randomized participants. 'Overall Number of Participants Analyzed' = participants with available data.|||Participants|||COUNT_OF_PARTICIPANTS
258272807|NCT03548935|SECONDARY|Number of Treatment Emergent Adverse Events (TEAEs)|An adverse event (AE) was defined as any unfavorable and unintended sign (including an abnormal laboratory finding), symptom or disease temporally associated with the use of a product, whether or not considered related to the product. All AEs mentioned here are treatment emergent adverse events (TEAE) defined as an event for which the onset of the event occurs in the on-treatment period. The endpoint was evaluated based on the data from on-treatment observation period. On-treatment observation period: includes all time intervals in which participants are considered to be on treatment from the first (week 0) to last trial product administration (week 68), including 7 weeks of follow-up. It excludes any period of temporary treatment interruption. Temporary treatment interruption is defined as more than 7 consecutive missed doses (off-treatment period).|Baseline (week 0) to week 75|SAS included all participants who received at least one dose of trial product.|||Events|||NUMBER
258272808|NCT03548935|SECONDARY|Number of Serious Adverse Events (SAEs)|A serious adverse event (SAE) is defined as any untoward medical occurrence that at any dose results in death, or is life-threatening, or requires inpatient hospitalization or causes prolongation of existing hospitalization results in persistent or significant disability/incapacity, or may have caused a congenital anomaly/birth defect, or requires intervention to prevent permanent impairment or damage. The SAEs occurred from week 0 to week 75 is presented. The endpoint was evaluated based on the data from on-treatment observation period. On-treatment observation period: includes all time intervals in which participants are considered to be on treatment from the first (week 0) to last trial product administration (week 68), including 7 weeks of follow-up. It excludes any period of temporary treatment interruption. Temporary treatment interruption is defined as more than 7 consecutive missed doses (off-treatment period).|Baseline (week 0) to week 75|SAS included all participants who received at least one dose of trial product.|||Events|||NUMBER
258272809|NCT03548935|SECONDARY|Change in Pulse|Change in pulse from baseline (week 0) to week 68 is presented. The endpoint was evaluated based on the data from on-treatment observation period. On-treatment observation period: includes all time intervals in which participants are considered to be on treatment from the first (week 0) to last trial product administration (week 68) including 2 weeks of follow-up. It excludes any period of temporary treatment interruption. Temporary treatment interruption is defined as more than 2 consecutive missed doses (off-treatment period).|Baseline (week 0) to week 68|SAS included all participants who received at least one dose of trial product. Overall number of participants analyzed = number of participants with available data.|||beats per minute (bpm)||Standard Deviation|MEAN
258272810|NCT03548935|SECONDARY|Change in Amylase - Ratio to Baseline|Change in amylase (measured as units per litre \[U/L\]) is presented as ratio to baseline. The endpoint was evaluated based on the data from on-treatment observation period. On-treatment observation period: includes all time intervals in which participants are considered to be on treatment from the first (week 0) to last trial product administration (week 68) including 2 weeks of follow-up. It excludes any period of temporary treatment interruption. Temporary treatment interruption is defined as more than 2 consecutive missed doses (off-treatment period).|Baseline (week 0) to week 68|SAS included all participants who received at least one dose of trial product. Overall number of participants analyzed = number of participants with available data.|||Ratio of amylase||Geometric Coefficient of Variation|GEOMETRIC_MEAN
258272811|NCT03548935|SECONDARY|Change in Lipase - Ratio to Baseline|Change in lipase (measured as units per litre \[U/L\]) is presented as ratio to baseline. The endpoint was evaluated based on the data from on-treatment observation period. On-treatment observation period: includes all time intervals in which participants are considered to be on treatment from the first (week 0) to last trial product administration (week 68) including 2 weeks of follow-up. It excludes any period of temporary treatment interruption. Temporary treatment interruption is defined as more than 2 consecutive missed doses (off-treatment period).|Baseline (week 0) to week 68|SAS included all participants who received at least one dose of trial product. Overall number of participants analyzed = number of participants with available data.|||Ratio of lipase||Geometric Coefficient of Variation|GEOMETRIC_MEAN
258272812|NCT03548935|SECONDARY|Change in Calcitonin - Ratio to Baseline|Change in calcitonin (measured as ng/L) is presented as ratio to baseline. The endpoint was evaluated based on the data from on-treatment observation period. On-treatment observation period: includes all time intervals in which participants are considered to be on treatment from the first (week 0) to last trial product administration (week 68) including 2 weeks of follow-up. It excludes any period of temporary treatment interruption. Temporary treatment interruption is defined as more than 2 consecutive missed doses (off-treatment period).|Baseline (week 0) to week 68|SAS included all participants who received at least one dose of trial product. Overall number of participants analyzed = number of participants with available data.|||Ratio of calcitonin||Geometric Coefficient of Variation|GEOMETRIC_MEAN
258432012|NCT01115855|PRIMARY|Number of Participants With First Occurrence of Cardiovascular (CV) Mortality or Hospitalization Due to Heart Failure (HF)|CV mortality was defined as any death due to HF, myocardial infarction, cardiac arrhythmia, stroke or cerebral vascular accident, other CV cause (such as aneurysm or pulmonary embolism). Hospitalization due to HF was defined as an overnight stay, or longer, in a hospital environment (emergency room, observation unit or in-patient care, or similar facility including admission to a day care facility) due to HF. Hazard ratio of Eplerenone versus placebo for first occurrence of the event was obtained from a Cox proportional hazards model.|Randomization up to the date when the last enrolled participant had been followed up for 1 year (up to 1744 days)|Full analysis set included all randomized participants.|||participants|||NUMBER
258432013|NCT01115855|SECONDARY|Number of Participants With First Occurrence of Cardiovascular (CV) Mortality, Hospitalization Due to Heart Failure (HF), or Addition/Increase of Heart Failure (HF) Medication|CV mortality was defined as any death due to HF, myocardial infarction, cardiac arrhythmia, stroke or cerebral vascular accident, other CV cause (such as aneurysm or pulmonary embolism). Hospitalization due to HF was defined as an overnight stay, or longer, in a hospital environment (emergency room, observation unit or in-patient care, or similar facility including admission to a day care facility) due to HF. Addition/ increase of HF medications was defined as administration of new HF medication or increase of 50 percentage (%) or more in dose of HF medication for \>= 3 days. Hazard ratio of Eplerenone versus placebo for first occurrence of the event was obtained from a Cox proportional hazards model.|Randomization up to the date when the last enrolled participant had been followed up for 1 year (up to 1744 days)|Full analysis set included all randomized participants.|||participants|||NUMBER
258432014|NCT01115855|SECONDARY|Number of Participants With With First Occurrence of All-Cause Mortality|All-cause mortality was defined as any CV mortality, Non-CV mortality, including malignant tumor, pulmonary disease and trauma.CV mortality was defined as death due to HF, myocardial infarction, cardiac arrhythmia, stroke or cerebral vascular accident, other CV cause (such as aneurysm or pulmonary embolism). Mortality during treatment, within 30 days of treatment discontinuation and after 30 days of discontinuation was reported. Hazard ratio of Eplerenone versus placebo for first occurrence of the event was obtained from a Cox proportional hazards model.|Randomization up to the date when the last enrolled participant had been followed up for 1 year (up to 1744 days)|Full analysis set included all randomized participants.|||participants|||NUMBER
258432015|NCT01115855|SECONDARY|Number of Participants With With First Occurrence of Cardiovascular Mortality|CV mortality was defined as death due to HF, myocardial infarction, cardiac arrhythmia, stroke or cerebral vascular accident, other CV cause (such as aneurysm or pulmonary embolism). Hazard ratio of Eplerenone versus placebo for first occurrence of the event was obtained from a Cox proportional hazards model.|Randomization up to the date when the last enrolled participant had been followed up for 1 year (up to 1744 days)|Full analysis set included all randomized participants.|||participants|||NUMBER
258432016|NCT01115855|SECONDARY|Number of Participants With First Occurrence of All-cause Hospitalization|All cause hospitalization included all hospitalizations as CV hospitalization, which was defined as any hospitalization due to CV events including HF, myocardial infarction, arrhythmia, angina pectoris and non-CV hospitalizations which was defined as any hospitalization due to non-CV events including renal dysfunction, hyperkalaemia, malignant tumor and pulmonary disease. Hazard ratio of Eplerenone versus placebo for first occurrence of the event was obtained from a Cox proportional hazards model.|Randomization up to the date when the last enrolled participant had been followed up for 1 year (up to 1744 days)|Full analysis set included all randomized participants.|||participants|||NUMBER
