id|nct_id|ctgov_group_code|event_type|classification|subjects_affected|subjects_at_risk|created_at|updated_at
227217655|NCT01107886|EG001|other|Total, other adverse events|3504|8280|2026-08-29 07:47:55.376981|2026-08-29 07:47:55.376981
227217851|NCT01107886|EG000|serious|Total, serious adverse events|2075|8212|2026-08-29 07:47:55.429425|2026-08-29 07:47:55.429425
227217852|NCT01107886|EG001|serious|Total, serious adverse events|2114|8280|2026-08-29 07:47:55.429425|2026-08-29 07:47:55.429425
227220853|NCT01897532|EG000|deaths|Total, all-cause mortality|253|3485|2026-08-29 08:03:16.550964|2026-08-29 08:03:16.550964
227220854|NCT01897532|EG001|deaths|Total, all-cause mortality|250|3494|2026-08-29 08:03:16.550964|2026-08-29 08:03:16.550964
227221068|NCT01897532|EG000|other|Total, other adverse events|1422|3485|2026-08-29 08:03:16.644197|2026-08-29 08:03:16.644197
227221069|NCT01897532|EG001|other|Total, other adverse events|1434|3494|2026-08-29 08:03:16.644197|2026-08-29 08:03:16.644197
227221283|NCT01897532|EG000|serious|Total, serious adverse events|1343|3485|2026-08-29 08:03:16.744833|2026-08-29 08:03:16.744833
227221284|NCT01897532|EG001|serious|Total, serious adverse events|1293|3494|2026-08-29 08:03:16.744833|2026-08-29 08:03:16.744833
226963127|NCT01032629|EG000|deaths|Total, all-cause mortality|74|1441|2026-08-28 15:01:10.577103|2026-08-28 15:01:10.577103
226963128|NCT01032629|EG001|deaths|Total, all-cause mortality|68|1445|2026-08-28 15:01:10.577103|2026-08-28 15:01:10.577103
226963129|NCT01032629|EG002|deaths|Total, all-cause mortality|66|1441|2026-08-28 15:01:10.577103|2026-08-28 15:01:10.577103
226963285|NCT01032629|EG000|other|Total, other adverse events|1137|1441|2026-08-28 15:01:10.651914|2026-08-28 15:01:10.651914
226963286|NCT01032629|EG001|other|Total, other adverse events|1146|1445|2026-08-28 15:01:10.651914|2026-08-28 15:01:10.651914
226963287|NCT01032629|EG002|other|Total, other adverse events|1167|1441|2026-08-28 15:01:10.651914|2026-08-28 15:01:10.651914
226963443|NCT01032629|EG000|serious|Total, serious adverse events|584|1441|2026-08-28 15:01:10.729637|2026-08-28 15:01:10.729637
226963444|NCT01032629|EG001|serious|Total, serious adverse events|601|1445|2026-08-28 15:01:10.729637|2026-08-28 15:01:10.729637
226963445|NCT01032629|EG002|serious|Total, serious adverse events|606|1441|2026-08-28 15:01:10.729637|2026-08-28 15:01:10.729637
226967675|NCT03619213|EG000|deaths|Total, all-cause mortality|510|3131|2026-08-28 15:20:05.666916|2026-08-28 15:20:05.666916
226967676|NCT03619213|EG001|deaths|Total, all-cause mortality|533|3132|2026-08-28 15:20:05.666916|2026-08-28 15:20:05.666916
226967823|NCT03619213|EG000|other|Total, other adverse events|464|3126|2026-08-28 15:20:05.850309|2026-08-28 15:20:05.850309
226967824|NCT03619213|EG001|other|Total, other adverse events|485|3127|2026-08-28 15:20:05.850309|2026-08-28 15:20:05.850309
226967971|NCT03619213|EG000|serious|Total, serious adverse events|1454|3126|2026-08-28 15:20:05.969649|2026-08-28 15:20:05.969649
226967972|NCT03619213|EG001|serious|Total, serious adverse events|1508|3127|2026-08-28 15:20:05.969649|2026-08-28 15:20:05.969649
227241766|NCT01703208|EG000|deaths|Total, all-cause mortality|||2026-08-29 09:25:54.272275|2026-08-29 09:25:54.272275
227241767|NCT01703208|EG001|deaths|Total, all-cause mortality|||2026-08-29 09:25:54.272275|2026-08-29 09:25:54.272275
227241954|NCT01703208|EG000|other|Total, other adverse events|788|2092|2026-08-29 09:25:54.430605|2026-08-29 09:25:54.430605
227241955|NCT01703208|EG001|other|Total, other adverse events|794|2100|2026-08-29 09:25:54.430605|2026-08-29 09:25:54.430605
227242142|NCT01703208|EG000|serious|Total, serious adverse events|512|2092|2026-08-29 09:25:54.573909|2026-08-29 09:25:54.573909
227242143|NCT01703208|EG001|serious|Total, serious adverse events|503|2100|2026-08-29 09:25:54.573909|2026-08-29 09:25:54.573909
227366447|NCT00439777|EG000|deaths|Total, all-cause mortality|||2026-08-29 17:13:46.626651|2026-08-29 17:13:46.626651
227366448|NCT00439777|EG001|deaths|Total, all-cause mortality|||2026-08-29 17:13:46.626651|2026-08-29 17:13:46.626651
227366587|NCT00439777|EG000|other|Total, other adverse events|1053|2412|2026-08-29 17:13:46.668806|2026-08-29 17:13:46.668806
227366588|NCT00439777|EG001|other|Total, other adverse events|1065|2405|2026-08-29 17:13:46.668806|2026-08-29 17:13:46.668806
227366727|NCT00439777|EG000|serious|Total, serious adverse events|504|2412|2026-08-29 17:13:46.711961|2026-08-29 17:13:46.711961
227366728|NCT00439777|EG001|serious|Total, serious adverse events|495|2405|2026-08-29 17:13:46.711961|2026-08-29 17:13:46.711961
227002382|NCT01989754|EG000|deaths|Total, all-cause mortality|71|2903|2026-08-28 17:28:53.086325|2026-08-28 17:28:53.086325
227002383|NCT01989754|EG001|deaths|Total, all-cause mortality|68|2904|2026-08-28 17:28:53.086325|2026-08-28 17:28:53.086325
227002576|NCT01989754|EG000|other|Total, other adverse events|25|2903|2026-08-28 17:28:53.151675|2026-08-28 17:28:53.151675
227002577|NCT01989754|EG001|other|Total, other adverse events|94|2904|2026-08-28 17:28:53.151675|2026-08-28 17:28:53.151675
227002770|NCT01989754|EG000|serious|Total, serious adverse events|775|2903|2026-08-28 17:28:53.209706|2026-08-28 17:28:53.209706
227002771|NCT01989754|EG001|serious|Total, serious adverse events|714|2904|2026-08-28 17:28:53.209706|2026-08-28 17:28:53.209706
227005008|NCT00439725|EG000|deaths|Total, all-cause mortality|||2026-08-28 17:38:31.768876|2026-08-28 17:38:31.768876
227005009|NCT00439725|EG001|deaths|Total, all-cause mortality|||2026-08-28 17:38:31.768876|2026-08-28 17:38:31.768876
227005187|NCT00439725|EG000|other|Total, other adverse events|63|598|2026-08-28 17:38:31.828947|2026-08-28 17:38:31.828947
227005188|NCT00439725|EG001|other|Total, other adverse events|65|590|2026-08-28 17:38:31.828947|2026-08-28 17:38:31.828947
227005366|NCT00439725|EG000|serious|Total, serious adverse events|59|598|2026-08-28 17:38:31.887396|2026-08-28 17:38:31.887396
227005367|NCT00439725|EG001|serious|Total, serious adverse events|52|590|2026-08-28 17:38:31.887396|2026-08-28 17:38:31.887396
